question,filename,answer
1,Question1.webp,B
2,Question2.webp,A
3,Question3.webp,A
4,Question4.webp,ACD
5,Question5.webp,C
6,Question6.webp,A
7,Question7.webp,A
8,Question8.webp,B
9,Question9.webp,D
10,Question10.webp,D
11,Question11.webp,A
12,Question12.webp,B
13,Question13.webp,A
14,Question14.webp,C
15,Question15.webp,A
16,Question16.webp,B
17,Question17.webp,C
18,Question18.webp,C
19,Question19.webp,D
20,Question20.webp,D
21,Question21.webp,B
22,Question22.webp,C
23,Question23.webp,D
24,Question24.webp,D
25,Question25.webp,C
26,Question26.webp,C
27,Question27.webp,D
28,Question28.webp,D
29,Question29.webp,A
30,Question30.webp,A
31,Question31.webp,B
32,Question32.webp,C
33,Question33.webp,B
34,Question34.webp,D
35,Question35.webp,B
36,Question36.webp,A
37,Question37.webp,C
38,Question38.webp,A
39,Question39.webp,B
40,Question40.webp,A
41,Question41.webp,B
42,Question42.webp,A
43,Question43.webp,A
44,Question44.webp,D
45,Question45.webp,C
46,Question46.webp,A
47,Question47.webp,A
48,Question48.webp,A
49,Question49.webp,C
50,Question50.webp,B